AÑO,ARTICULO,GRAMOS POR PERSONAS,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
2001.0000,Pan Francés,49.0000,0.0700,0.0700,0.0700,0.0700,0.0700,0.0600,0.0600,0.0700,0.0600,0.0600,0.0700,0.0700
2001.0000,Tortillas,223.0000,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,0.1200,0.1200,0.1200,0.1200,0.1100,0.1100
2001.0000,Arroz,55.0000,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0400,0.0500,0.0500
2001.0000,Carnes 1_ /,60.0000,0.2500,0.2500,0.2500,0.2500,0.2500,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600
2001.0000,Grasas 2 _ /,33.0000,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500
2001.0000,Huevos,28.0000,0.0600,0.0600,0.0600,0.0600,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0600
2001.0000,Leche Fluida *,106.0000,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,0.0700,0.0700,0.0700,0.0800,0.0800
2001.0000,Frutas 3_ /,157.0000,0.0600,0.0600,0.0600,0.0600,0.0600,0.0600,0.0500,0.0600,0.0600,0.0700,0.0700,0.0600
2001.0000,Frijoles,79.0000,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,0.0800,0.0900,0.0800
2001.0000,Verduras 4_ /,127.0000,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,0.1000,0.1000,0.1100,0.1200,0.1000
2001.0000,Azúcar,69.0000,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0500,0.0400
2002.0000,Pan Francés,49.0000,0.0700,0.0600,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700
2002.0000,Tortillas,223.0000,0.1200,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100
2002.0000,Arroz,55.0000,0.0500,0.0500,0.0500,0.0500,0.0500,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400,0.0400
2002.0000,Carnes 1_ /,60.0000,0.2600,0.2600,0.2600,0.2700,0.2600,0.2600,0.2600,0.2700,0.2700,0.2600,0.2700,0.2700
2002.0000,Grasas 2 _ /,33.0000,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500
2002.0000,Huevos,28.0000,0.0600,0.0600,0.0600,0.0600,0.0600,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500
2002.0000,Leche Fluida *,106.0000,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,0.0700,0.0700,0.0700,0.0800,0.0800,0.0800
2002.0000,Frutas 3_ /,157.0000,0.0600,0.0600,0.0600,0.0600,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700
2002.0000,Frijoles,79.0000,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,0.0700,0.0700,0.0800,0.0700,0.0700
